audit_id,flight_date,station_code,handler_name,turnaround_target_mins,turnaround_actual_mins,turnaround_variance_mins,is_on_time,baggage_delay_mins,safety_incident_flag
15937,2025-06-18 00:00:00,JFK,Swissport,60,59,-1,t,14,f
15938,2025-12-04 00:00:00,DXB,dnata,45,62,17,f,13,f
15939,2025-07-05 00:00:00,SIN,dnata,60,41,-19,t,13,f
15940,2025-03-13 00:00:00,SIN,dnata,60,90,30,f,9,f
15941,2025-01-04 00:00:00,FRA,dnata,45,71,26,f,21,f
15942,2025-10-01 00:00:00,DXB,Swissport,90,75,-15,t,30,f
15943,2025-05-13 00:00:00,LHR,WFS,45,72,27,f,25,f
15944,2025-09-15 00:00:00,SIN,Menzies,45,71,26,f,21,f
15945,2025-04-19 00:00:00,NRT,Menzies,120,73,-47,t,17,f
15946,2025-03-08 00:00:00,LHR,WFS,90,56,-34,t,12,f
15947,2025-04-12 00:00:00,NRT,Menzies,60,67,7,f,19,f
15948,2025-03-30 00:00:00,LHR,dnata,90,39,-51,t,21,f
15949,2025-06-08 00:00:00,LHR,Swissport,90,73,-17,t,12,f
15950,2025-08-05 00:00:00,YUL,Menzies,45,106,61,f,15,f
15951,2025-12-17 00:00:00,JFK,Menzies,120,105,-15,t,16,f
15952,2025-06-07 00:00:00,JFK,dnata,60,73,13,f,5,f
15953,2025-05-16 00:00:00,LHR,Menzies,60,70,10,f,21,f
15954,2025-01-17 00:00:00,FRA,Menzies,90,54,-36,t,18,f
15955,2025-08-01 00:00:00,YUL,Menzies,90,44,-46,t,13,f
15956,2025-12-18 00:00:00,JFK,Menzies,120,51,-69,t,27,f
15957,2025-02-26 00:00:00,YUL,WFS,90,78,-12,t,13,f
15958,2025-09-05 00:00:00,NRT,Swissport,45,75,30,f,6,f
15959,2025-03-09 00:00:00,FRA,dnata,90,92,2,f,24,f
15960,2025-12-17 00:00:00,NRT,Menzies,60,70,10,f,8,f
15961,2025-03-08 00:00:00,YUL,WFS,60,22,-38,t,18,f
15962,2025-09-08 00:00:00,FRA,Menzies,90,81,-9,t,16,f
15963,2025-12-31 00:00:00,JFK,Menzies,90,78,-12,t,10,f
15964,2025-09-04 00:00:00,SIN,Menzies,45,61,16,f,29,f
15965,2025-09-25 00:00:00,LHR,Swissport,60,87,27,f,27,f
15966,2025-03-28 00:00:00,YUL,WFS,90,51,-39,t,8,f
15967,2025-06-30 00:00:00,LHR,WFS,60,63,3,f,9,f
15968,2025-02-21 00:00:00,NRT,Menzies,120,57,-63,t,12,f
15969,2025-05-24 00:00:00,FRA,Menzies,90,53,-37,t,17,f
15970,2025-07-17 00:00:00,FRA,WFS,45,67,22,f,16,f
15971,2025-11-05 00:00:00,YUL,Menzies,60,76,16,f,19,f
15972,2025-04-28 00:00:00,FRA,dnata,120,79,-41,t,20,f
15973,2025-07-06 00:00:00,JFK,WFS,90,67,-23,t,6,f
15974,2025-05-30 00:00:00,YUL,Swissport,90,62,-28,t,0,f
15975,2025-08-13 00:00:00,JFK,Menzies,90,43,-47,t,14,f
15976,2025-03-14 00:00:00,JFK,Swissport,45,58,13,f,24,f
15977,2025-03-27 00:00:00,FRA,Swissport,60,59,-1,t,26,f
15978,2025-10-09 00:00:00,LHR,Menzies,120,70,-50,t,15,f
15979,2025-02-10 00:00:00,JFK,dnata,120,55,-65,t,9,f
15980,2025-05-29 00:00:00,YUL,Menzies,90,48,-42,t,23,f
15981,2025-09-09 00:00:00,SIN,Menzies,45,69,24,f,13,f
15982,2025-05-05 00:00:00,JFK,WFS,45,22,-23,t,21,f
15983,2025-03-30 00:00:00,NRT,Menzies,90,30,-60,t,10,f
15984,2025-02-19 00:00:00,JFK,Menzies,120,78,-42,t,22,f
15985,2025-05-02 00:00:00,JFK,dnata,45,37,-8,t,17,f
15986,2025-01-26 00:00:00,YUL,Menzies,45,30,-15,t,27,f
15987,2025-02-16 00:00:00,SIN,dnata,60,71,11,f,26,f
15988,2025-04-14 00:00:00,FRA,Swissport,120,85,-35,t,13,f
15989,2025-05-12 00:00:00,NRT,Menzies,45,93,48,f,15,f
15990,2025-12-06 00:00:00,SIN,Menzies,90,54,-36,t,0,f
15992,2025-09-15 00:00:00,FRA,WFS,90,57,-33,t,17,f
15993,2025-08-10 00:00:00,NRT,Menzies,90,50,-40,t,15,f
15994,2025-12-12 00:00:00,SIN,Menzies,45,71,26,f,9,f
15995,2025-04-27 00:00:00,DXB,Menzies,90,67,-23,t,16,f
15996,2025-03-13 00:00:00,FRA,dnata,45,109,64,f,25,f
15997,2025-10-27 00:00:00,FRA,Menzies,60,90,30,f,7,f
15998,2025-05-12 00:00:00,FRA,dnata,45,44,-1,t,12,f
15999,2025-01-23 00:00:00,JFK,Menzies,45,51,6,f,25,f
16000,2025-08-18 00:00:00,FRA,WFS,90,54,-36,t,14,f
16001,2025-09-26 00:00:00,FRA,Menzies,120,40,-80,t,13,f
16002,2025-05-27 00:00:00,FRA,Menzies,60,87,27,f,13,f
16003,2025-05-08 00:00:00,SIN,WFS,90,35,-55,t,23,f
16004,2025-07-17 00:00:00,JFK,Menzies,120,79,-41,t,23,f
16005,2025-10-22 00:00:00,SIN,Menzies,120,63,-57,t,9,f
16006,2025-08-03 00:00:00,LHR,Menzies,45,58,13,f,15,f
16007,2025-08-25 00:00:00,NRT,Menzies,120,85,-35,t,8,f
16008,2025-10-28 00:00:00,NRT,WFS,45,66,21,f,13,f
16009,2025-07-14 00:00:00,FRA,Swissport,120,70,-50,t,16,f
16010,2025-02-03 00:00:00,SIN,Menzies,90,71,-19,t,26,f
16011,2025-10-09 00:00:00,DXB,Menzies,120,77,-43,t,9,f
16012,2025-04-30 00:00:00,LHR,dnata,90,68,-22,t,24,f
16013,2025-03-01 00:00:00,YUL,WFS,90,50,-40,t,26,f
16014,2025-09-18 00:00:00,FRA,Menzies,90,80,-10,t,14,f
16015,2025-09-20 00:00:00,NRT,Menzies,90,55,-35,t,12,f
16016,2025-04-25 00:00:00,JFK,Menzies,45,97,52,f,10,f
16017,2025-11-22 00:00:00,JFK,WFS,120,63,-57,t,26,f
16018,2025-09-11 00:00:00,YUL,Swissport,120,63,-57,t,20,f
16019,2025-11-26 00:00:00,NRT,Swissport,60,66,6,f,10,f
16020,2025-09-05 00:00:00,NRT,Menzies,120,72,-48,t,14,f
16021,2025-09-06 00:00:00,JFK,Menzies,120,92,-28,t,26,f
16022,2025-02-12 00:00:00,YUL,dnata,120,75,-45,t,12,f
16023,2025-09-29 00:00:00,LHR,Menzies,45,52,7,f,32,f
16024,2025-06-28 00:00:00,NRT,Menzies,120,68,-52,t,12,f
16025,2025-05-22 00:00:00,NRT,Menzies,60,77,17,f,16,f
16026,2025-09-03 00:00:00,YUL,WFS,60,69,9,f,2,f
16027,2025-09-03 00:00:00,DXB,WFS,45,66,21,f,22,f
16028,2025-01-31 00:00:00,DXB,dnata,90,76,-14,t,20,f
16029,2025-10-07 00:00:00,YUL,dnata,45,79,34,f,14,t
16030,2025-10-05 00:00:00,YUL,WFS,45,62,17,f,13,f
16031,2025-01-15 00:00:00,LHR,WFS,90,77,-13,t,16,f
16032,2025-12-05 00:00:00,SIN,Swissport,90,61,-29,t,33,f
16033,2025-12-23 00:00:00,JFK,WFS,45,105,60,f,14,f
16034,2025-10-09 00:00:00,LHR,dnata,45,66,21,f,17,f
16035,2025-04-13 00:00:00,SIN,WFS,60,62,2,f,16,f
16036,2025-11-04 00:00:00,FRA,WFS,90,77,-13,t,0,f
16037,2025-12-25 00:00:00,JFK,WFS,120,48,-72,t,19,f
16038,2025-12-04 00:00:00,FRA,Swissport,60,75,15,f,24,f
16039,2025-06-15 00:00:00,NRT,dnata,60,55,-5,t,14,f
16040,2025-02-14 00:00:00,LHR,Menzies,90,53,-37,t,12,f
16041,2025-09-27 00:00:00,JFK,Swissport,45,81,36,f,15,f
16042,2025-05-20 00:00:00,YUL,Swissport,90,44,-46,t,11,f
16043,2025-06-24 00:00:00,YUL,Swissport,120,48,-72,t,25,f
16044,2025-03-22 00:00:00,SIN,Menzies,90,77,-13,t,12,f
16045,2025-05-09 00:00:00,SIN,Menzies,60,55,-5,t,8,f
16046,2025-09-08 00:00:00,NRT,WFS,45,53,8,f,7,f
16047,2025-01-20 00:00:00,JFK,Menzies,45,73,28,f,20,f
16048,2025-09-15 00:00:00,LHR,Swissport,120,59,-61,t,17,f
16049,2025-09-11 00:00:00,FRA,Swissport,60,89,29,f,9,f
16050,2025-04-18 00:00:00,FRA,Swissport,45,52,7,f,11,f
16051,2025-10-24 00:00:00,FRA,Menzies,45,62,17,f,9,f
16052,2025-10-18 00:00:00,YUL,Swissport,45,62,17,f,14,f
16053,2025-12-20 00:00:00,YUL,Swissport,45,40,-5,t,28,f
16054,2025-11-01 00:00:00,LHR,Menzies,60,86,26,f,15,f
16055,2025-07-11 00:00:00,SIN,Swissport,90,51,-39,t,11,f
16056,2025-04-27 00:00:00,NRT,Menzies,90,72,-18,t,20,t
16057,2025-10-14 00:00:00,JFK,WFS,45,86,41,f,14,f
16058,2025-12-21 00:00:00,FRA,Menzies,90,48,-42,t,21,f
16059,2025-10-22 00:00:00,LHR,Swissport,45,77,32,f,15,f
16060,2025-06-25 00:00:00,SIN,Swissport,90,82,-8,t,15,f
16061,2025-05-26 00:00:00,YUL,Menzies,60,93,33,f,23,f
16062,2025-06-30 00:00:00,YUL,dnata,120,51,-69,t,10,f
16063,2025-09-18 00:00:00,LHR,Swissport,120,19,-101,t,9,f
16064,2025-04-28 00:00:00,DXB,Swissport,45,90,45,f,12,f
16065,2025-09-21 00:00:00,SIN,WFS,90,52,-38,t,17,f
16066,2025-09-04 00:00:00,YUL,WFS,90,56,-34,t,30,f
16067,2025-12-19 00:00:00,LHR,dnata,90,91,1,f,6,f
16068,2025-02-19 00:00:00,DXB,Menzies,120,52,-68,t,10,f
16069,2025-12-15 00:00:00,FRA,Swissport,90,86,-4,t,5,f
16070,2025-10-06 00:00:00,YUL,Swissport,60,51,-9,t,12,f
16071,2025-10-26 00:00:00,FRA,Menzies,45,50,5,f,10,f
16072,2025-04-16 00:00:00,JFK,WFS,45,88,43,f,16,f
16073,2025-11-30 00:00:00,LHR,Menzies,120,77,-43,t,8,f
16074,2025-09-07 00:00:00,YUL,dnata,45,62,17,f,19,f
16075,2025-06-01 00:00:00,LHR,Menzies,120,78,-42,t,22,f
16076,2025-01-17 00:00:00,YUL,dnata,60,55,-5,t,8,f
16077,2025-09-13 00:00:00,YUL,Menzies,120,31,-89,t,21,f
16078,2025-11-01 00:00:00,LHR,Menzies,120,39,-81,t,14,f
16079,2025-01-29 00:00:00,DXB,dnata,120,59,-61,t,19,f
16080,2025-04-22 00:00:00,DXB,Swissport,45,72,27,f,17,f
16081,2025-09-27 00:00:00,JFK,dnata,60,62,2,f,20,f
16082,2025-10-25 00:00:00,YUL,WFS,120,50,-70,t,15,f
16083,2025-05-07 00:00:00,LHR,Menzies,90,55,-35,t,17,f
16084,2025-12-22 00:00:00,LHR,Swissport,90,67,-23,t,8,f
16085,2025-12-19 00:00:00,DXB,Menzies,60,56,-4,t,25,f
16086,2025-02-22 00:00:00,DXB,dnata,45,71,26,f,8,f
16087,2025-05-11 00:00:00,NRT,Menzies,120,76,-44,t,1,f
16088,2025-05-14 00:00:00,JFK,Menzies,60,66,6,f,28,f
16089,2025-11-11 00:00:00,FRA,Menzies,120,63,-57,t,15,f
16090,2025-01-20 00:00:00,NRT,dnata,60,73,13,f,18,f
16091,2025-05-27 00:00:00,JFK,Menzies,120,49,-71,t,0,f
16092,2025-07-04 00:00:00,JFK,Menzies,120,67,-53,t,5,f
16093,2025-11-12 00:00:00,YUL,Menzies,90,82,-8,t,35,f
16094,2025-12-12 00:00:00,NRT,WFS,60,70,10,f,13,f
16095,2025-07-10 00:00:00,NRT,Menzies,45,69,24,f,11,f
16096,2025-07-05 00:00:00,JFK,Swissport,60,57,-3,t,13,f
16097,2025-09-22 00:00:00,LHR,Menzies,60,46,-14,t,17,f
16098,2025-10-14 00:00:00,JFK,Menzies,60,68,8,f,10,f
16099,2025-05-20 00:00:00,DXB,dnata,45,68,23,f,23,f
16100,2025-06-17 00:00:00,NRT,Menzies,60,79,19,f,0,f
16101,2025-05-15 00:00:00,DXB,Menzies,90,75,-15,t,21,f
16102,2025-12-09 00:00:00,YUL,WFS,60,68,8,f,12,f
16103,2025-08-30 00:00:00,DXB,Menzies,90,74,-16,t,3,f
16104,2025-05-07 00:00:00,NRT,Menzies,45,46,1,f,4,f
16105,2025-12-29 00:00:00,YUL,dnata,120,75,-45,t,15,f
16106,2025-10-25 00:00:00,FRA,Menzies,90,50,-40,t,24,f
16107,2025-06-22 00:00:00,JFK,WFS,60,73,13,f,18,f
16108,2025-05-23 00:00:00,DXB,Swissport,60,62,2,f,19,f
16109,2025-09-07 00:00:00,FRA,Menzies,45,69,24,f,18,f
16110,2025-10-20 00:00:00,YUL,Menzies,90,56,-34,t,12,f
16111,2025-08-06 00:00:00,DXB,Swissport,120,76,-44,t,10,f
16112,2025-03-28 00:00:00,FRA,Menzies,90,54,-36,t,4,f
16113,2025-04-21 00:00:00,JFK,Menzies,120,66,-54,t,9,f
16114,2025-05-14 00:00:00,NRT,Swissport,120,75,-45,t,11,f
16115,2025-05-08 00:00:00,YUL,Menzies,90,63,-27,t,16,f
16116,2025-01-16 00:00:00,LHR,WFS,120,86,-34,t,8,f
16117,2025-07-22 00:00:00,YUL,dnata,45,68,23,f,28,f
16118,2025-08-03 00:00:00,LHR,Swissport,45,66,21,f,5,f
16119,2025-03-28 00:00:00,LHR,Swissport,90,62,-28,t,23,f
16120,2025-08-03 00:00:00,YUL,dnata,45,24,-21,t,17,f
16121,2025-03-12 00:00:00,SIN,Swissport,120,58,-62,t,0,f
16122,2025-06-21 00:00:00,SIN,Swissport,120,62,-58,t,15,f
16123,2025-11-23 00:00:00,NRT,WFS,60,59,-1,t,25,f
16124,2025-07-31 00:00:00,SIN,dnata,120,74,-46,t,25,f
16125,2025-07-25 00:00:00,NRT,Menzies,45,50,5,f,6,f
16126,2025-08-06 00:00:00,LHR,Swissport,120,61,-59,t,16,f
16127,2025-06-24 00:00:00,YUL,Menzies,45,76,31,f,6,f
16128,2025-02-27 00:00:00,SIN,dnata,120,59,-61,t,27,f
16129,2025-01-10 00:00:00,YUL,dnata,120,65,-55,t,6,f
16130,2025-04-13 00:00:00,YUL,Menzies,60,79,19,f,12,f
16131,2025-04-17 00:00:00,FRA,Menzies,90,36,-54,t,11,f
16132,2025-01-03 00:00:00,JFK,Menzies,45,71,26,f,0,f
16133,2025-03-17 00:00:00,SIN,Menzies,45,65,20,f,12,f
16134,2025-06-05 00:00:00,YUL,Menzies,120,108,-12,t,12,f
16135,2025-11-21 00:00:00,JFK,WFS,120,83,-37,t,26,f
16136,2025-09-17 00:00:00,NRT,Menzies,45,57,12,f,7,f
16137,2025-11-07 00:00:00,YUL,Swissport,90,61,-29,t,22,f
16138,2025-05-11 00:00:00,SIN,Menzies,45,74,29,f,6,f
16139,2025-09-11 00:00:00,JFK,Menzies,60,64,4,f,13,f
16140,2025-04-07 00:00:00,FRA,WFS,45,57,12,f,19,f
16141,2025-03-31 00:00:00,DXB,Menzies,120,73,-47,t,6,f
16142,2025-09-30 00:00:00,YUL,Menzies,120,73,-47,t,31,f
16143,2025-11-07 00:00:00,JFK,Menzies,60,69,9,f,22,f
16144,2025-10-06 00:00:00,LHR,WFS,45,51,6,f,10,f
16145,2025-05-06 00:00:00,DXB,Swissport,120,39,-81,t,7,f
16146,2025-02-08 00:00:00,NRT,dnata,45,65,20,f,12,f
16147,2025-05-10 00:00:00,NRT,WFS,45,73,28,f,12,f
16148,2025-05-08 00:00:00,FRA,Swissport,45,59,14,f,20,f
16149,2025-08-02 00:00:00,JFK,WFS,90,70,-20,t,13,f
16150,2025-07-22 00:00:00,YUL,Menzies,120,67,-53,t,14,f
16152,2025-05-18 00:00:00,SIN,dnata,120,84,-36,t,7,f
16153,2025-05-25 00:00:00,NRT,dnata,120,44,-76,t,28,f
16154,2025-11-21 00:00:00,JFK,Menzies,45,90,45,f,26,f
16155,2025-06-10 00:00:00,JFK,Menzies,60,75,15,f,13,f
16156,2025-10-03 00:00:00,JFK,Swissport,45,75,30,f,15,f
16157,2025-08-31 00:00:00,FRA,WFS,120,52,-68,t,3,f
16158,2025-03-13 00:00:00,SIN,Menzies,60,97,37,f,19,f
16159,2025-03-17 00:00:00,DXB,Menzies,45,61,16,f,5,f
16160,2025-12-04 00:00:00,FRA,WFS,45,58,13,f,17,f
16161,2025-05-13 00:00:00,JFK,Swissport,60,77,17,f,11,f
16162,2025-08-26 00:00:00,SIN,Swissport,60,38,-22,t,14,f
16163,2025-06-10 00:00:00,NRT,Swissport,60,79,19,f,14,f
16164,2025-03-09 00:00:00,FRA,Swissport,90,75,-15,t,19,f
16165,2025-02-20 00:00:00,YUL,WFS,45,74,29,f,29,f
16166,2025-10-23 00:00:00,LHR,Menzies,60,49,-11,t,23,f
16167,2025-06-07 00:00:00,YUL,dnata,45,62,17,f,11,f
16168,2025-11-05 00:00:00,YUL,Menzies,60,46,-14,t,13,f
16169,2025-10-04 00:00:00,FRA,Menzies,45,57,12,f,0,f
16170,2025-08-11 00:00:00,SIN,Menzies,90,58,-32,t,24,f
16171,2025-03-28 00:00:00,SIN,WFS,45,68,23,f,15,f
16172,2025-12-08 00:00:00,SIN,Menzies,120,51,-69,t,20,f
16173,2025-04-20 00:00:00,SIN,dnata,45,49,4,f,6,f
16174,2025-12-12 00:00:00,NRT,Menzies,90,55,-35,t,39,f
16175,2025-05-02 00:00:00,DXB,dnata,60,55,-5,t,7,f
16176,2025-09-30 00:00:00,JFK,dnata,120,72,-48,t,17,f
16177,2025-07-22 00:00:00,FRA,Menzies,45,80,35,f,12,f
16178,2025-07-09 00:00:00,LHR,Menzies,120,71,-49,t,21,f
16179,2025-07-12 00:00:00,NRT,dnata,90,57,-33,t,14,f
16180,2025-04-24 00:00:00,NRT,Menzies,45,59,14,f,25,f
16181,2025-03-24 00:00:00,LHR,dnata,45,80,35,f,22,f
16182,2025-12-09 00:00:00,NRT,Menzies,60,75,15,f,30,f
16183,2025-12-28 00:00:00,NRT,Menzies,60,58,-2,t,14,f
16184,2025-11-11 00:00:00,JFK,Menzies,120,78,-42,t,11,f
16185,2025-07-01 00:00:00,LHR,Menzies,60,60,0,t,16,f
16186,2025-08-02 00:00:00,YUL,WFS,60,61,1,f,15,f
16187,2025-07-19 00:00:00,LHR,Menzies,90,92,2,f,23,f
16188,2025-05-09 00:00:00,YUL,Swissport,90,42,-48,t,5,f
16189,2025-02-23 00:00:00,JFK,Menzies,45,68,23,f,20,f
16190,2025-08-21 00:00:00,LHR,Menzies,90,71,-19,t,6,t
16191,2025-12-25 00:00:00,JFK,WFS,90,52,-38,t,9,f
16192,2025-02-20 00:00:00,LHR,WFS,45,66,21,f,22,f
16193,2025-12-24 00:00:00,NRT,dnata,120,75,-45,t,6,f
16194,2025-03-28 00:00:00,DXB,Menzies,60,62,2,f,0,f
16195,2025-06-19 00:00:00,SIN,dnata,45,56,11,f,19,f
16196,2025-03-29 00:00:00,SIN,Menzies,60,79,19,f,8,f
16197,2025-07-07 00:00:00,SIN,WFS,45,83,38,f,30,f
16198,2025-01-25 00:00:00,YUL,WFS,60,69,9,f,6,f
16199,2025-04-18 00:00:00,DXB,Menzies,90,52,-38,t,17,f
16200,2025-01-09 00:00:00,NRT,Swissport,120,48,-72,t,16,f
16201,2025-01-30 00:00:00,JFK,Menzies,120,89,-31,t,24,f
16202,2025-12-20 00:00:00,NRT,Menzies,120,56,-64,t,14,f
16204,2025-12-27 00:00:00,FRA,dnata,120,52,-68,t,0,f
16205,2025-04-22 00:00:00,LHR,Menzies,120,70,-50,t,15,f
16206,2025-10-28 00:00:00,YUL,Swissport,120,37,-83,t,20,f
16207,2025-10-20 00:00:00,YUL,Menzies,45,72,27,f,29,f
16208,2025-08-23 00:00:00,YUL,Menzies,120,39,-81,t,18,f
16209,2025-12-24 00:00:00,DXB,Swissport,90,44,-46,t,14,f
16210,2025-11-09 00:00:00,SIN,Swissport,120,67,-53,t,18,f
16211,2025-08-19 00:00:00,JFK,Swissport,120,69,-51,t,10,f
16212,2025-07-28 00:00:00,NRT,Menzies,60,87,27,f,15,f
16213,2025-03-18 00:00:00,NRT,dnata,90,50,-40,t,26,f
16214,2025-03-10 00:00:00,NRT,dnata,60,33,-27,t,29,f
16215,2025-05-06 00:00:00,YUL,Menzies,45,86,41,f,16,f
16216,2025-06-29 00:00:00,JFK,WFS,60,64,4,f,11,f
16217,2025-04-21 00:00:00,FRA,Menzies,60,36,-24,t,13,f
16218,2025-04-20 00:00:00,FRA,dnata,60,70,10,f,26,f
16219,2025-11-25 00:00:00,NRT,dnata,45,78,33,f,12,f
16220,2025-09-28 00:00:00,YUL,dnata,120,99,-21,t,8,f
16221,2025-08-30 00:00:00,JFK,Menzies,45,67,22,f,11,f
16222,2025-03-31 00:00:00,JFK,Menzies,60,49,-11,t,28,f
16223,2025-02-14 00:00:00,LHR,dnata,120,73,-47,t,34,f
16224,2025-01-06 00:00:00,JFK,dnata,60,82,22,f,26,f
16225,2025-04-27 00:00:00,JFK,WFS,90,78,-12,t,6,f
16226,2025-09-25 00:00:00,JFK,WFS,45,54,9,f,14,f
16227,2025-12-08 00:00:00,YUL,dnata,60,32,-28,t,25,f
16228,2025-04-05 00:00:00,DXB,Swissport,120,97,-23,t,13,f
16229,2025-12-22 00:00:00,JFK,Swissport,90,88,-2,t,2,f
16230,2025-01-09 00:00:00,FRA,Menzies,90,69,-21,t,5,f
16231,2025-05-03 00:00:00,FRA,Menzies,120,48,-72,t,10,f
16232,2025-04-13 00:00:00,LHR,Menzies,90,97,7,f,10,f
16233,2025-10-28 00:00:00,DXB,Menzies,45,67,22,f,34,f
16234,2025-11-08 00:00:00,NRT,Menzies,45,77,32,f,19,f
16235,2025-03-26 00:00:00,SIN,Swissport,120,66,-54,t,12,f
16236,2025-07-20 00:00:00,YUL,Menzies,90,60,-30,t,24,f
16237,2025-07-20 00:00:00,DXB,WFS,120,51,-69,t,3,f
16238,2025-05-27 00:00:00,FRA,dnata,45,57,12,f,19,f
16239,2025-12-03 00:00:00,LHR,dnata,45,50,5,f,2,f
16240,2025-12-24 00:00:00,SIN,dnata,120,71,-49,t,16,f
16241,2025-02-08 00:00:00,YUL,Swissport,60,71,11,f,18,f
16242,2025-11-22 00:00:00,SIN,Menzies,60,74,14,f,0,f
16243,2025-02-01 00:00:00,NRT,dnata,120,66,-54,t,23,f
16244,2025-08-15 00:00:00,SIN,WFS,45,59,14,f,10,f
16245,2025-10-04 00:00:00,DXB,dnata,120,70,-50,t,26,f
16246,2025-02-21 00:00:00,JFK,dnata,60,103,43,f,8,f
16247,2025-07-02 00:00:00,JFK,Menzies,60,51,-9,t,21,f
16248,2025-05-19 00:00:00,FRA,dnata,60,59,-1,t,4,f
16249,2025-10-08 00:00:00,LHR,WFS,90,49,-41,t,3,f
16250,2025-05-21 00:00:00,JFK,WFS,45,52,7,f,14,f
16251,2025-04-16 00:00:00,NRT,dnata,90,72,-18,t,24,f
16252,2025-12-15 00:00:00,DXB,Menzies,60,93,33,f,12,f
16253,2025-06-15 00:00:00,SIN,Swissport,45,62,17,f,14,f
16254,2025-05-03 00:00:00,NRT,Menzies,90,77,-13,t,9,f
16255,2025-02-27 00:00:00,SIN,Menzies,90,39,-51,t,16,f
16256,2025-07-27 00:00:00,FRA,WFS,60,73,13,f,19,f
16257,2025-01-05 00:00:00,JFK,dnata,120,61,-59,t,13,f
16258,2025-10-31 00:00:00,YUL,Swissport,120,54,-66,t,23,f
16259,2025-01-03 00:00:00,YUL,Menzies,90,52,-38,t,9,f
16260,2025-09-08 00:00:00,JFK,WFS,120,75,-45,t,16,f
16261,2025-04-18 00:00:00,JFK,Swissport,60,76,16,f,14,f
16262,2025-05-25 00:00:00,NRT,Menzies,60,48,-12,t,8,f
16263,2025-03-04 00:00:00,LHR,Menzies,120,70,-50,t,7,f
16264,2025-07-22 00:00:00,SIN,dnata,45,61,16,f,16,f
16265,2025-06-18 00:00:00,SIN,dnata,45,60,15,f,14,f
16266,2025-09-05 00:00:00,FRA,WFS,60,66,6,f,14,f
16267,2025-07-01 00:00:00,JFK,Menzies,90,67,-23,t,10,f
16268,2025-09-07 00:00:00,DXB,Menzies,60,69,9,f,34,f
16269,2025-08-19 00:00:00,SIN,Menzies,90,64,-26,t,12,f
16270,2025-01-30 00:00:00,SIN,Swissport,120,85,-35,t,13,f
16271,2025-12-09 00:00:00,YUL,Menzies,45,25,-20,t,8,f
16272,2025-10-30 00:00:00,YUL,Menzies,60,68,8,f,13,f
16273,2025-08-27 00:00:00,NRT,WFS,120,70,-50,t,15,f
16274,2025-12-12 00:00:00,SIN,WFS,45,67,22,f,7,f
16275,2025-04-24 00:00:00,YUL,Swissport,45,68,23,f,18,f
16276,2025-09-18 00:00:00,YUL,Menzies,45,43,-2,t,24,f
16277,2025-09-19 00:00:00,LHR,Menzies,45,74,29,f,10,f
16278,2025-09-05 00:00:00,LHR,Swissport,60,30,-30,t,0,f
16280,2025-04-16 00:00:00,JFK,WFS,45,71,26,f,14,f
16281,2025-10-05 00:00:00,NRT,dnata,45,83,38,f,15,f
16282,2025-03-20 00:00:00,YUL,WFS,60,37,-23,t,18,f
16283,2025-04-11 00:00:00,NRT,dnata,120,64,-56,t,4,f
16284,2025-04-07 00:00:00,DXB,WFS,45,84,39,f,22,f
16285,2025-01-05 00:00:00,DXB,Menzies,90,69,-21,t,1,f
16286,2025-12-02 00:00:00,DXB,Menzies,60,74,14,f,9,f
16287,2025-03-11 00:00:00,YUL,WFS,60,50,-10,t,26,f
16288,2025-05-03 00:00:00,NRT,dnata,120,89,-31,t,16,f
16289,2025-02-13 00:00:00,NRT,Menzies,90,59,-31,t,11,f
16290,2025-05-22 00:00:00,DXB,WFS,120,79,-41,t,16,f
16291,2025-06-17 00:00:00,FRA,dnata,45,54,9,f,15,f
16292,2025-10-22 00:00:00,NRT,WFS,45,80,35,f,18,f
16293,2025-08-05 00:00:00,DXB,Swissport,60,78,18,f,18,f
16294,2025-05-19 00:00:00,DXB,WFS,60,52,-8,t,17,f
16295,2025-05-30 00:00:00,LHR,WFS,120,47,-73,t,5,f
16296,2025-06-17 00:00:00,LHR,Menzies,90,49,-41,t,7,f
16297,2025-10-30 00:00:00,NRT,Menzies,120,53,-67,t,8,f
16298,2025-07-14 00:00:00,YUL,dnata,90,70,-20,t,7,f
16299,2025-09-27 00:00:00,JFK,WFS,90,43,-47,t,11,f
16300,2025-07-09 00:00:00,JFK,Menzies,60,72,12,f,9,f
16301,2025-09-12 00:00:00,LHR,Swissport,45,40,-5,t,7,f
16302,2025-09-27 00:00:00,JFK,WFS,60,69,9,f,18,f
16303,2025-05-16 00:00:00,DXB,WFS,45,80,35,f,10,f
16304,2025-12-12 00:00:00,NRT,dnata,60,51,-9,t,16,f
16305,2025-01-10 00:00:00,SIN,Menzies,60,65,5,f,0,f
16306,2025-06-30 00:00:00,YUL,Swissport,60,53,-7,t,12,f
16307,2025-01-04 00:00:00,FRA,dnata,60,115,55,f,22,f
16308,2025-05-17 00:00:00,LHR,Menzies,90,82,-8,t,22,f
16309,2025-08-28 00:00:00,YUL,Menzies,90,99,9,f,1,f
16310,2025-04-18 00:00:00,NRT,dnata,60,55,-5,t,4,f
16311,2025-12-15 00:00:00,LHR,dnata,45,60,15,f,22,f
16312,2025-07-19 00:00:00,YUL,Swissport,45,66,21,f,13,f
16313,2025-12-24 00:00:00,LHR,Menzies,120,87,-33,t,28,f
16314,2025-12-31 00:00:00,FRA,Menzies,60,69,9,f,4,f
